#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Fire Emblem (Europe) (En,Es,It);;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;[Eng-Ita-Spa];
Fire Emblem (Europe) (En,Fr,De);;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;[Eng-Fre-Ger];
Fire Emblem (Europe) (En,Fr,De) (Wii U Virtual Console);;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;https://www.nintendo.co.uk/Games/Game-Boy-Advance/Fire-Emblem-266738.html;
Fire Emblem (USA) (Wii U Virtual Console);;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;;
Fire Emblem (USA, Australia);;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;https://tanasmanor.net/sites/fe7/;
Fire Emblem - Fuuin no Tsurugi (China)[iQue][CHS];;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;; 神游版火纹战记（未发售）;
Fire Emblem - Fuuin no Tsurugi (Japan);;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;https://www.nintendo.co.jp/n08/afej/;
Fire Emblem - Fuuin no Tsurugi (Japan)[CGP & W_anthony][CHS];;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;火焰纹章 - 封印之剑[CGP&W_anthony](简);
Fire Emblem - Fuuin no Tsurugi (Japan)[Superxyj][CHS];;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;火焰纹章 - 封印之剑[Superxyj](简);
Fire Emblem - Fuuin no Tsurugi (Japan)[Wolf & Chinafe](v1.1)(2006090701) [CHS];;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;火焰纹章 - 封印之剑[狼组&火花天龙剑](v1.1)(2006090701) (简) (火花加料版);
Fire Emblem - Fuuin no Tsurugi (Japan)[Wolf & Chinafe](v20060906) [CHS];;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;http://www.fireemblem.net/fe/download/index.htm;
Fire Emblem - Heroes Remake;;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;https://github.com/laqieer/fe7-jp-stunning-tribble;
Fire Emblem - Rekka no Ken (Japan);;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;https://www.nintendo.co.jp/n08/ae7j/;
Fire Emblem - Rekka no Ken (Japan) (Beta) (06-02-2003);;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;https://serenesforest.net/blazing-sword/general/prototype-information/;
Fire Emblem - Rekka no Ken (Japan) (Beta) (19-02-2003);;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;https://serenesforest.net/blazing-sword/general/prototype-information/;
Fire Emblem - Rekka no Ken (Japan)[CGP][CHS];;laqieer - Fire Emblem - Game Boy Advance.xml;;;;;;;;None;;;;;火焰纹章 - 烈火之剑[CGP](简);
